symbol1	symbol2	score	gene1	gene2
BLM	RMI1	5.24258714838311	641	80010
CDK4	CDKN1A	5.24169743499171	1019	1026
EHMT2	EHMT1	5.24139054864784	10919	79813
TADA1	TADA2B	5.24041748877295	117143	93624
MLH1	PMS2	5.23652864145879	4292	5395
CDK2	CDKN1A	5.23589849770007	1017	1026
SUMO3	SUMO2	5.2350636855981	6612	6613
FANCB	FANCG	5.23506245089318	2187	2189
RPS27A	UBB	5.23428699799661	6233	7314
FANCD2	FANCF	5.23413536323169	2177	2188
MLH1	MSH3	5.23005528105732	4292	4437
CHEK1	ATR	5.22983154147465	1111	545
FANCB	FANCL	5.22934990843271	2187	55120
RAD51	PALB2	5.22810257517057	5888	79728
CDKN1A	CCND1	5.22797944121388	1026	595
YWHAQ	YWHAG	5.22647846207613	10971	7532
SMARCA4	SMARCC2	5.22512081402055	6597	6601
TADA1	SUPT20H	5.22342674321521	117143	55578
FANCG	FANCM	5.22020356791291	2189	57697
YWHAB	YWHAZ	5.219112222485	7529	7534
FANCF	FAAP100	5.21801820789557	2188	80233
BLM	TOP3A	5.21716496694757	641	7156
RPS27A	UBA52	5.21439337291677	6233	7311
SMARCA4	SMARCE1	5.2140093934436	6597	6605
CDC25B	CDC25C	5.21169475117703	994	995
NCAPD3	NCAPH2	5.20863566964622	23310	29781
FANCM	FAAP100	5.20773566768884	57697	80233
NFKB1	NFKB2	5.20747735537018	4790	4791
H2AC13	H2AC14	5.20727371296889	8329	8331
FANCF	FANCL	5.20666780621338	2188	55120
YWHAQ	YWHAB	5.20666205721511	10971	7529
NCAPH	NCAPG	5.20586984973965	23397	64151
FANCB	FAAP100	5.20536758210536	2187	80233
CENPX	CENPS	5.20382071038735	201254	378708
YWHAG	YWHAH	5.20376287084838	7532	7533
FEN1	PCNA	5.20107785399092	2237	5111
YWHAB	YWHAH	5.20077129428923	7529	7533
NPLOC4	UFD1	5.19862781732691	55666	7353
YWHAH	YWHAZ	5.19720115313209	7533	7534
RPA1	RPA2	5.19661497491745	6117	6118
CDK7	MNAT1	5.1955113787438	1022	4331
RPS27A	UBC	5.19371069010943	6233	7316
YWHAQ	YWHAZ	5.19343708427179	10971	7534
CDKN2A	MDM2	5.19326886313094	1029	4193
SMC1B	SMC1A	5.19210742400917	27127	8243
CENPX	FANCM	5.19157878972516	201254	57697
UBA1	UBE2A	5.19137624704546	7317	7319
NCAPD3	NCAPG2	5.19128679927717	23310	54892
YWHAG	YWHAZ	5.18873440866186	7532	7534
ERCC4	SLX4	5.18686060068077	2072	84464
UBA52	UBC	5.18637046026362	7311	7316
LIG3	XRCC1	5.18408679963961	3980	7515
UBA52	UBB	5.18391692524847	7311	7314
YWHAQ	YWHAH	5.18370091554122	10971	7533
FANCG	FAAP100	5.18267964310016	2189	80233
STAG1	STAG2	5.18240994978245	10274	10735
PARP2	PARP1	5.18094124050346	10038	142
UBE2T	FANCI	5.1696242261603	29089	55215
UBA2	UBE2I	5.16959758314942	10054	7329
FANCB	FANCM	5.1663734536252	2187	57697
CCND2	CCND3	5.16609588239545	894	896
BRCA1	BRIP1	5.16503789928293	672	83990
SMC1A	SMC3	5.16445236536013	8243	9126
CENPS	FANCM	5.16079110917357	378708	57697
RPA2	RPA3	5.15999057636961	6118	6119
RAD51C	RAD51D	5.15869737218606	5889	5892
CDKN1A	CCNE1	5.15827221020966	1026	898
TAF6L	TADA1	5.1580240633053	10629	117143
CDK2	CCNA1	5.15794492472641	1017	8900
NFKB1	RELA	5.15649360386697	4790	5970
ERCC3	GTF2H1	5.15601448568655	2071	2965
PER3	PER2	5.1552084126683	8863	8864
MLH3	MLH1	5.15505857889628	27030	4292
TOP3A	TOP3B	5.15350918240432	7156	8940
SMARCB1	SMARCC2	5.14961885453436	6598	6601
POLG2	POLG	5.14839758964375	11232	5428
REV1	POLH	5.14779925140171	51455	5429
KMT5B	KMT5C	5.14716527761401	51111	84787
MDM2	MDM4	5.14708275033737	4193	4194
CDK4	CDKN1B	5.14672007575298	1019	1027
MNAT1	CCNH	5.14625835178542	4331	902
UBA2	SUMO1	5.14313793108922	10054	7341
PPP6R1	PPP6R3	5.14136142108819	22870	55291
RMI2	RMI1	5.14021374572158	116028	80010
NOP10	NHP2	5.13971792266689	55505	55651
LIG1	LIG3	5.13943792806083	3978	3980
SMARCA4	SMARCD1	5.13896806873811	6597	6602
SMARCC2	SMARCE1	5.13848763859862	6601	6605
DKC1	NOP10	5.13525372212364	1736	55505
POLD3	POLD1	5.13260285127005	10714	5424
H2AC19	H2AC18	5.1321027288494	723790	8337
RAD51	BLM	5.130741217861	5888	641
SMARCC1	SMARCC2	5.12926628506953	6599	6601
NBN	ATM	5.12735679079872	4683	472
RAD51B	XRCC3	5.12692133866513	5890	7517
RB1	CCNE1	5.1205808684041	5925	898
ATF7IP	SETDB1	5.11920596930154	55729	9869
SDHA	SDHD	5.11865616716516	6389	6392
CNOT7	BTG2	5.11731581456405	29883	7832
RMI2	BLM	5.11728163067295	116028	641
EME1	EME2	5.11674834698929	146956	197342
UBB	UBC	5.11670466188612	7314	7316
SUV39H1	SUV39H2	5.11143838467911	6839	79723
SMARCC1	SMARCD1	5.11124292009601	6599	6602
RAD51C	XRCC2	5.11124254604408	5889	7516
RFC1	RFC4	5.11085919288956	5981	5984
RAD51C	RAD51B	5.10940878331486	5889	5890
NSD3	NSD1	5.10925883505173	54904	64324
NBN	MDC1	5.10518540720606	4683	9656
PCNA	POLD1	5.10507508462683	5111	5424
POLD1	POLD2	5.10477477570481	5424	5425
PADI2	PADI4	5.10427101250353	11240	23569
PADI2	PADI1	5.10427101250353	11240	29943
PADI2	PADI6	5.10427101250353	11240	353238
PADI4	PADI1	5.10427101250353	23569	29943
PADI2	PADI3	5.10427101250353	11240	51702
PADI1	PADI6	5.10427101250353	29943	353238
PADI4	PADI6	5.10427101250353	23569	353238
PADI6	PADI3	5.10427101250353	353238	51702
ASF1A	ASF1B	5.10404110908968	25842	55723
ERCC1	XPA	5.10380064364704	2067	7507
CCNA2	CDK1	5.10374063009988	890	983
LIG4	XRCC4	5.10201629313958	3981	7518
FANCC	FANCL	5.10196188169631	2176	55120
CDC25A	CDC25B	5.10169034807784	993	994
H4C9	H4C13	5.09962356630834	8294	8368
POLD3	POLD2	5.09773638212937	10714	5425
H4C15	H4C1	5.09736320838137	554313	8359
H2AC16	H2AC17	5.09659093087068	8332	8336
CDC25A	CDC25C	5.09504157128728	993	995
SMARCC2	ARID1A	5.09309955628356	6601	8289
SUMO2	UBE2I	5.09224179742031	6613	7329
REV1	REV3L	5.09220321982351	51455	5980
SMARCD1	SMARCE1	5.09189290335371	6602	6605
CHEK1	ATM	5.09151808793487	1111	472
POLD1	POLD4	5.09113627868193	5424	57804
FANCC	FANCM	5.08985261392885	2176	57697
PPP6R3	PPP6C	5.08930695519006	55291	5537
FANCA	FAAP24	5.0879206202104	2175	91442
TOP3A	RMI1	5.08758107071363	7156	80010
NSMCE2	SMC6	5.08752759966471	286053	79677
H2AC8	H2AC11	5.08546297230102	3012	8969
RBBP8	BRCA1	5.08424284161473	5932	672
UBE2I	SUMO1	5.08419857527438	7329	7341
H2AC14	H2AC12	5.08368877502276	8331	85235
TAF5L	TADA2B	5.08287411154139	27097	93624
H4C9	H4C6	5.08229289155284	8294	8361
MAD2L2	REV1	5.08202948748275	10459	51455
FANCC	FANCD2	5.07969184274271	2176	2177
H4C2	H4C5	5.0794723971389	8366	8367
SMUG1	APEX1	5.07908877018794	23583	328
NCOA2	NCOA1	5.07887005483442	10499	8648
NPLOC4	VCP	5.07803501863268	55666	7415
PCNA	RFC1	5.07257218219007	5111	5981
PARP2	PARP3	5.07227263137908	10038	10039
TADA1	TAF5L	5.0686071148178	117143	27097
GTF2H2	GTF2H3	5.06849899057365	2966	2967
POLD3	PCNA	5.06836342414301	10714	5111
RBBP7	SAP30	5.0651521687723	5931	8819
MDM2	TP53	5.06485005178902	4193	7157
ERCC2	ERCC3	5.06452533483378	2068	2071
DDB1	CUL4A	5.0634021471937	1642	8451
JAK2	STAT3	5.0608578328281	3717	6774
SUMO4	SUMO2	5.05837307062662	387082	6613
XRCC4	NHEJ1	5.05837115964499	7518	79840
RFC1	RFC2	5.0580617328425	5981	5982
TAF6L	SUPT20H	5.05742718555202	10629	55578
NCAPG	NCAPD2	5.05721576522161	64151	9918
TERF1	TERF2	5.05683984096059	7013	7014
GTF2H1	GTF2H2	5.05610285344655	2965	2966
HDAC10	HDAC3	5.05513162736742	83933	8841
POLE	POLE2	5.05143025652569	5426	5427
CDKN1A	GADD45A	5.05087183371123	1026	1647
FANCG	FAAP24	5.04843436889635	2189	91442
ERCC1	SLX4	5.04699462043383	2067	84464
CDKN1B	CCND1	5.04621803114583	1027	595
CDKN1A	TP53	5.0459324171613	1026	7157
SGF29	TADA2B	5.04587123880693	112869	93624
TAF6L	TADA2B	5.04383042243743	10629	93624
CHEK1	CDK1	5.0437947714982	1111	983
ERCC3	GTF2H2	5.04300955750455	2071	2966
RAD51	BRCA1	5.04277006802861	5888	672
UBE2N	UBE2V2	5.04172337365601	7334	7336
RFC1	RFC5	5.04155790644885	5981	5985
CDK7	ERCC3	5.04067400610094	1022	2071
DKC1	NHP2	5.0395594453038	1736	55651
H2AC13	H2AC11	5.03487748955092	8329	8969
ASCC3	ASCC2	5.03462338065866	10973	84164
H2AC13	H2AC16	5.03446759082334	8329	8332
H2AC16	H2AC11	5.03446317156292	8332	8969
